x_image,y_image,time_err_minus,time_err_plus,de_bruijn_sequence_element_index,dash_start_end,zero_or_one,datetime,err_minus_x_image,err_plus_x_image,err_minus_y_image,err_plus_y_image,periodic_pulse,pick_flag,encoding_type
2034.682661012378,3631.1729202511638,0.00065,5e-05,184,S,0,2021-10-28T06:46:48.400,0.5,0.5,0.5,0.5,-,M,PF
2025.037023321499,3626.350101405724,0.00065,5e-05,185,S,1,2021-10-28T06:46:48.500,0.5,0.5,0.5,0.5,-,M,PF
2020.7435382517783,3624.1739514388796,0.00065,5e-05,185,E,1,2021-10-28T06:46:48.550,0.5,0.5,0.5,0.5,-,M,PF
2015.332570766651,3621.409652832347,0.00065,5e-05,186,S,0,2021-10-28T06:46:48.600,0.5,0.5,0.5,0.5,-,M,PF
2005.922192531647,3616.704463714845,0.00065,5e-05,187,S,1,2021-10-28T06:46:48.700,0.5,0.5,0.5,0.5,-,M,PF
2000.5112250465197,3613.4696461965623,0.00065,5e-05,187,E,1,2021-10-28T06:46:48.750,0.5,0.5,0.5,0.5,-,M,PF
1995.2767021532989,3610.587717862092,0.00065,5e-05,188,S,1,2021-10-28T06:46:48.800,0.5,0.5,0.5,0.5,-,M,PF
1989.9245495321406,3608.1763084393724,0.00065,5e-05,188,E,1,2021-10-28T06:46:48.850,0.5,0.5,0.5,0.5,-,M,PF
1985.0429158227323,3605.2943801049028,0.00065,5e-05,189,S,0,2021-10-28T06:46:48.900,0.5,0.5,0.5,0.5,-,M,PF
1974.0445362605712,3599.942227483744,0.00065,5e-05,190,S,1,2021-10-28T06:46:49.000,0.5,0.5,0.5,0.5,-,M,PF
1968.927643095288,3596.6485951014924,0.00065,5e-05,190,E,1,2021-10-28T06:46:49.050,0.5,0.5,0.5,0.5,-,M,PF
1964.0460093858796,3594.5900748625854,0.00065,5e-05,191,S,1,2021-10-28T06:46:49.100,0.5,0.5,0.5,0.5,-,M,PF
1958.5762270367834,3591.4728870722406,0.00065,5e-05,191,E,1,2021-10-28T06:46:49.150,0.5,0.5,0.5,0.5,-,M,PF
1953.3417041435625,3588.5909587377705,0.00065,5e-05,192,S,1,2021-10-28T06:46:49.200,0.5,0.5,0.5,0.5,-,M,PF
1948.6953298900294,3585.297326355519,0.00065,5e-05,192,E,1,2021-10-28T06:46:49.250,0.5,0.5,0.5,0.5,-,M,PF
1942.6373989012454,3582.180138565174,0.00065,5e-05,193,S,0,2021-10-28T06:46:49.300,0.5,0.5,0.5,0.5,-,M,PF
1931.5665156534135,3576.545152666669,0.00065,5e-05,194,S,1,2021-10-28T06:46:49.400,0.5,0.5,0.5,0.5,-,M,PF
1925.5180514324509,3573.0595970139107,0.00065,5e-05,194,E,1,2021-10-28T06:46:49.450,0.5,0.5,0.5,0.5,-,M,PF
1920.4947506387698,3570.29165576025,0.00065,5e-05,195,S,0,2021-10-28T06:46:49.500,0.5,0.5,0.5,0.5,-,M,PF
1908.5003385395726,3563.3205444547334,0.00065,5e-05,196,S,1,2021-10-28T06:46:49.600,0.5,0.5,0.5,0.5,-,M,PF
1903.169488717707,3560.7576358865285,0.00065,5e-05,196,E,1,2021-10-28T06:46:49.650,0.5,0.5,0.5,0.5,-,M,PF
1897.7361225531135,3557.2720802337703,0.00065,5e-05,197,S,0,2021-10-28T06:46:49.700,0.5,0.5,0.5,0.5,-,M,PF
1885.7417104539163,3550.9160669846233,0.00065,5e-05,198,S,0,2021-10-28T06:46:49.800,0.5,0.5,0.5,0.5,-,M,PF
1874.5674290965444,3544.1499883645633,0.00065,5e-05,199,S,1,2021-10-28T06:46:49.900,0.5,0.5,0.5,0.5,-,M,PF
1868.3139321901253,3540.9719817399896,0.00065,5e-05,199,E,1,2021-10-28T06:46:49.950,0.5,0.5,0.5,0.5,-,M,PF
