x_image,y_image,time_err_minus,time_err_plus,de_bruijn_sequence_element_index,dash_start_end,zero_or_one,datetime,err_minus_x_image,err_plus_x_image,err_minus_y_image,err_plus_y_image,periodic_pulse,pick_flag,encoding_type
5069.46040637179,2399.7223521072633,0.00065,5e-05,10,S,1,2021-12-14T03:23:01.000,0.5,0.5,0.5,0.5,-,M,PF
5094.881040088443,2397.4727385040196,0.00065,5e-05,10,E,1,2021-12-14T03:23:01.050,0.5,0.5,0.5,0.5,-,M,PF
5120.526635165422,2395.223124900776,0.00065,5e-05,11,S,1,2021-12-14T03:23:01.100,0.5,0.5,0.5,0.5,-,M,PF
5146.847114323373,2393.6483953785055,0.00065,5e-05,11,E,1,2021-12-14T03:23:01.150,0.5,0.5,0.5,0.5,-,M,PF
5173.392554841648,2390.498936333964,0.00065,5e-05,12,S,1,2021-12-14T03:23:01.200,0.5,0.5,0.5,0.5,-,M,PF
5198.138304477329,2390.0490136133153,0.00065,5e-05,12,E,1,2021-12-14T03:23:01.250,0.5,0.5,0.5,0.5,-,M,PF
5223.783899554307,2388.474284091045,0.00065,5e-05,13,S,1,2021-12-14T03:23:01.300,0.5,0.5,0.5,0.5,-,M,PF
5249.65445599161,2386.4496318481256,0.00065,5e-05,13,E,1,2021-12-14T03:23:01.350,0.5,0.5,0.5,0.5,-,M,PF
5274.40020562729,2385.0998636861796,0.00065,5e-05,14,S,1,2021-12-14T03:23:01.400,0.5,0.5,0.5,0.5,-,M,PF
5300.045800704269,2382.400327362287,0.00065,5e-05,14,E,1,2021-12-14T03:23:01.450,0.5,0.5,0.5,0.5,-,M,PF
5325.241473060598,2381.0505592003406,0.00065,5e-05,15,S,1,2021-12-14T03:23:01.500,0.5,0.5,0.5,0.5,-,M,PF
5351.786913578873,2379.2508683177457,0.00065,5e-05,15,E,1,2021-12-14T03:23:01.550,0.5,0.5,0.5,0.5,-,M,PF
5377.207547295528,2376.1014092732044,0.00065,5e-05,16,S,1,2021-12-14T03:23:01.600,0.5,0.5,0.5,0.5,-,M,PF
5403.303065093154,2374.7516411112583,0.00065,5e-05,16,E,1,2021-12-14T03:23:01.650,0.5,0.5,0.5,0.5,-,M,PF
5428.723698809808,2372.27706614769,0.00065,5e-05,17,S,1,2021-12-14T03:23:01.700,0.5,0.5,0.5,0.5,-,M,PF
5454.369293886786,2370.927297985744,0.00065,5e-05,17,E,1,2021-12-14T03:23:01.750,0.5,0.5,0.5,0.5,-,M,PF
5479.564966243116,2368.9026457428245,0.00065,5e-05,18,S,0,2021-12-14T03:23:01.800,0.5,0.5,0.5,0.5,-,M,PF
5529.281426874801,2365.078302617311,0.00065,5e-05,19,S,1,2021-12-14T03:23:01.900,0.5,0.5,0.5,0.5,-,M,PF
5555.376944672427,2363.278611734716,0.00065,5e-05,19,E,1,2021-12-14T03:23:01.950,0.5,0.5,0.5,0.5,-,M,PF
5580.347655668433,2361.9288435727694,0.00065,5e-05,20,S,1,2021-12-14T03:23:02.000,0.5,0.5,0.5,0.5,-,M,PF
5605.768289385087,2359.454268609202,0.00065,5e-05,20,E,1,2021-12-14T03:23:02.050,0.5,0.5,0.5,0.5,-,M,PF
5630.963961741416,2357.6545777266065,0.00065,5e-05,21,S,1,2021-12-14T03:23:02.100,0.5,0.5,0.5,0.5,-,M,PF
5655.259788656448,2356.3048095646604,0.00065,5e-05,21,E,1,2021-12-14T03:23:02.150,0.5,0.5,0.5,0.5,-,M,PF
