x_image_thumb,y_image_thumb
2986.12396291,4301.36603456
2943.52114112,4246.81364081
2844.28773915,4113.80970937
2738.30023129,3954.82844758
2732.58521861,3945.99615526
2714.92063397,3916.90154526
2652.0554945,3807.27721114
2479.56602092,3452.94642506
2439.04138556,3351.63483666
2308.63518716,2931.84117807
2293.04878895,2866.37830557
2277.46239073,2800.39588646
2245.7700477,2634.14097217
2229.66410287,2531.79029055
2217.1949843,2434.63507501
2195.3740268,2192.00680947
2192.77629377,2139.01305554
2304.25336819,1853.87103334
2190.9028259,1835.78900114
2190.7163684,1830.38173384
2191.08928339,1814.34638942
2191.64865587,1807.26100468
2192.02157086,1790.66628779
2192.76740083,1783.39444556
2193.32677331,1768.29138861
2193.6996883,1758.96851396
2195.37780573,1725.21970769
2195.93717821,1715.71037554
2200.97153053,1644.48361315
2201.90381799,1634.974281
2202.83610546,1625.27849136
2203.76839293,1616.14207419
2204.32776541,1606.44628455
2204.88713789,1597.68278237
2205.81942535,1588.7328227
2207.1246278,1578.85057556
2211.22669265,1536.33826712
2212.15898012,1527.38830745
2213.27772508,1519.93000772
2214.02355505,1509.11547312
2216.63395995,1489.35097884
2218.1256199,1478.53644424
2218.49853489,1473.87500691
2219.61727985,1463.0604723
2220.17665232,1458.58549247
2221.66831227,1448.70324533
2222.22768475,1444.60118048
2223.5328872,1432.29498593
2227.63495205,1403.02115951
2229.126612,1393.13891237
2229.68598448,1389.78267749
2230.24535696,1383.81603771
2231.36410191,1377.66294043
2232.10993189,1371.69630065
2233.22867685,1364.42445842
2234.5338793,1355.66095624
2235.09325178,1351.55889139
2236.58491172,1342.79538921
2237.1442842,1339.43915434
2238.44948665,1331.23502464
2239.00885913,1327.69233227
2240.68697657,1318.18300012
2246.65361635,1284.06127887
