x_image_thumb,y_image_thumb
4817.25267468,1679.97994089
4807.55137808,1716.62928362
4803.77865162,1732.7981113
4800.81436655,1746.0026539
4790.0351481,1790.19744955
4780.87281241,1827.92471412
4775.21372273,1851.10003379
4764.9734652,1890.7136616
4757.96697321,1921.9733951
4746.10983291,1958.8922183
4739.37282138,1985.3013035
4728.32412247,2026.80129454
4719.43126724,2056.17466481
4716.19750171,2068.30128557
4114.93207079,3514.28059194
4089.1209259099996,3561.60102422
4070.58984753,3591.71402658
4063.64069314,3604.95051114
4026.9094485,3666.1692522
4001.76012785,3708.19509066
3984.22178581,3735.66079611
3974.2944224,3751.87548969
3940.21047467,3805.48325214
3931.93767182,3819.05064881
3899.83919677,3870.34202646
3891.23548181,3882.91668679
3857.81335831,3935.20080078
3836.63498303,3967.29927582
3819.75846522,3991.78677225
3797.9182657,4024.21615941
3782.36539635,4046.71818315
3760.52519684,4079.14757031
3744.97232748,4099.99503349
3724.78668854,4131.76259642
3710.22655553,4148.97002634
