y,x
0.0,0.0
0.0,1.0
0.0,2.0
0.0,3.0
0.0,15.0
0.0,16.0
0.0,17.0
0.0,-1.0
1.0,0.0
1.0,1.0
1.0,2.0
1.0,16.0
1.0,17.0
1.0,-1.0
2.0,0.0
2.0,1.0
2.0,16.0
2.0,17.0
2.0,-1.0
3.0,0.0
3.0,1.0
3.0,17.0
3.0,-1.0
4.0,0.0
4.0,1.0
4.0,17.0
4.0,-1.0
5.0,0.0
5.0,1.0
5.0,17.0
5.0,-1.0
6.0,0.0
6.0,1.0
6.0,17.0
6.0,-1.0
7.0,0.0
7.0,1.0
7.0,17.0
7.0,-1.0
8.0,0.0
8.0,1.0
8.0,17.0
8.0,-1.0
9.0,0.0
9.0,1.0
9.0,16.0
9.0,17.0
9.0,-1.0
10.0,0.0
10.0,1.0
10.0,2.0
10.0,16.0
10.0,17.0
10.0,-1.0
11.0,0.0
11.0,1.0
11.0,2.0
11.0,3.0
11.0,15.0
11.0,16.0
11.0,17.0
11.0,-1.0
-1.0,0.0
-1.0,1.0
-1.0,2.0
-1.0,3.0
-1.0,15.0
-1.0,16.0
-1.0,17.0
-1.0,-1.0
